id,name,adset_id,campaign_id,creative_id,status,effective_status,objective,created_time,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,purchase_roas,video_thruplay_watched_actions,video_p25_watched_actions,video_p100_watched_actions,results.indicator,results.value
120212990945920690,AD 03,120212332355760690,120212332355730690,120213674969290690,PAUSED,PAUSED,OUTCOME_SALES,2024-10-30T14:18:47-0300,"R$58,01 BRL",4882,2811,1.736748,"R$11,88 BRL",92,"1,88%",0.880787,43,"R$1,35 BRL",31,actions:offsite_conversion.fb_pixel_purchase,13,"R$4,46 BRL (Website purchases)",13,563.674884,1,,,,
120234831310150690,"Anúncio de Visitas ao perfil do Instagram: A GE WEEK chegou com tudo! 

O Ultra Egg Bacon...",120234831307780690,120234831306800690,748657844891723,ACTIVE,CAMPAIGN_PAUSED,LINK_CLICKS,2025-10-27T19:22:32-0300,"R$56,87 BRL",5873,4969,1.181928,"R$9,68 BRL",102,"1,74%",1.80487,106,"R$0,54 BRL",4,profile_visit_view,109,"R$0,52 BRL (Instagram profile visits)",,,310,1212,310,,
120217510222600690,AD 09,120217510222570690,120212792744250690,661350576250168,PAUSED,PAUSED,OUTCOME_ENGAGEMENT,2025-03-10T13:13:48-0300,"R$56,81 BRL",5946,3834,1.550861,"R$9,55 BRL",54,"0,91%",0.470905,28,"R$2,03 BRL",1,actions:onsite_conversion.messaging_conversation_started_7d,2,"R$28,41 BRL (Messaging conversations started)",,,,1,,,
120249893916720690,ADV - Burgers 23.07,120246128291460690,120246128288360690,999222242950851,PAUSED,PAUSED,OUTCOME_SALES,2026-07-23T15:22:33-0300,"R$51,98 BRL",4969,1948,2.550821,"R$10,46 BRL",52,"1,05%",0.764741,38,"R$1,37 BRL",19,actions:offsite_conversion.fb_pixel_purchase,2,"R$25,99 BRL (Website purchases)",2,2.577915,120,440,121,,
120226196734840690,AD - GÊ BOX (2),120226196734850690,120226196734670690,1864865320960483,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-06-15T18:24:03-0300,"R$51,90 BRL",7943,7065,1.124275,"R$6,53 BRL",69,"0,87%",0.41546,33,"R$1,57 BRL",24,actions:offsite_conversion.fb_pixel_purchase,1,"R$51,90 BRL (Website purchases)",1,1.734104,110,298,46,,
120206479885170690,AD - COMBO DOIS,120205274749630690,120205274749610690,120206480048050690,PAUSED,PAUSED,OUTCOME_ENGAGEMENT,2024-03-07T01:23:24-0300,"R$51,04 BRL",6644,3504,1.896119,"R$7,68 BRL",76,"1,14%",0.316075,21,"R$2,43 BRL",1,actions:onsite_conversion.messaging_conversation_started_7d,5,"R$10,21 BRL (Messaging conversations started)",4,450.779781,,,,,
120234829090100690,Anúncio de Visitas ao perfil do Instagram: O momento mais esperado do dia chegou: HAPPY...,120234829085370690,120234829085020690,1554278612593028,ACTIVE,CAMPAIGN_PAUSED,LINK_CLICKS,2025-10-27T18:29:54-0300,"R$50,98 BRL",3594,2976,1.207661,"R$14,18 BRL",40,"1,11%",1.112966,40,"R$1,27 BRL",,profile_visit_view,42,"R$1,21 BRL (Instagram profile visits)",,,114,531,114,,
120217907552000690,AD 03,120217906270330690,120217906270310690,2418657635161181,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-03-21T15:00:14-0300,"R$50,86 BRL",5704,2696,2.115727,"R$8,92 BRL",55,"0,96%",0.438289,25,"R$2,03 BRL",13,actions:offsite_conversion.fb_pixel_purchase,5,"R$10,17 BRL (Website purchases)",5,482.707432,91,227,38,,
120224523597400690,AD - GÊ BOX (2),120224523597470690,120224523597420690,9843620785733095,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-05-23T17:52:15-0300,"R$50,74 BRL",3557,2641,1.346838,"R$14,26 BRL",49,"1,38%",0.702839,25,"R$2,03 BRL",4,actions:onsite_conversion.messaging_conversation_started_7d,13,"R$3,90 BRL (Messaging conversations started)",3,6.330311,73,245,27,,
120242056504040690,ADI - GêBox Consumidor,120239568773410690,120239568773420690,2012039299742634,PAUSED,PAUSED,OUTCOME_SALES,2026-03-15T14:21:44-0300,"R$50,18 BRL",7383,4734,1.559569,"R$6,80 BRL",120,"1,63%",0.880401,65,"R$0,77 BRL",55,actions:offsite_conversion.fb_pixel_purchase,8,"R$6,27 BRL (Website purchases)",8,7.544839,5,16,4,,
120225786853970690,AD - Dia dos Namorados,120225786853680690,120225786853640690,1451768285990251,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-06-11T13:36:25-0300,"R$50,00 BRL",9585,6184,1.549968,"R$5,22 BRL",69,"0,72%",0.271257,26,"R$1,92 BRL",21,actions:offsite_conversion.fb_pixel_purchase,2,"R$25,00 BRL (Website purchases)",2,4.14,2,,,,
120231193241480690,AD - Gê Week,120231193241490690,120225170496270690,626648270499109,ACTIVE,ADSET_PAUSED,OUTCOME_AWARENESS,2025-08-26T11:34:44-0300,"R$49,64 BRL",20284,18930,1.071527,"R$2,45 BRL",47,"0,23%",0.20706,42,"R$1,18 BRL",19,reach,18930,"R$2,62 BRL (Reach)",,,,,,,
120240345836100690,AD - Novo 05.02.26_2,120240345524810690,120240345524780690,2181118905967940,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2026-02-05T22:59:04-0300,"R$49,13 BRL",8717,4674,1.864998,"R$5,64 BRL",80,"0,92%",0.56212,49,"R$1,00 BRL",21,actions:offsite_conversion.fb_pixel_purchase,2,"R$24,57 BRL (Website purchases)",2,0.773458,120,561,105,,
120227026444920690,AD - 3 BURGERS,120227026444910690,120227026383680690,2176603029444402,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-06-27T20:57:27-0300,"R$49,16 BRL",11146,4560,2.444298,"R$4,41 BRL",85,"0,76%",0.215324,24,"R$2,05 BRL",17,actions:offsite_conversion.fb_pixel_purchase,3,"R$16,39 BRL (Website purchases)",3,5.506509,3,23,3,,
120249997372970690,"ADI - Ge Salad R$ 24,20",120249993377410690,120249993377400690,2083075685629652,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2026-07-28T16:35:08-0300,"R$48,31 BRL",5406,2392,2.260033,"R$8,94 BRL",48,"0,89%",0.425453,23,"R$2,10 BRL",11,,,Not available (Website purchases),,,,,,actions:offsite_conversion.fb_pixel_purchase,Not available
120233927941950690,AD - Novo 01,120233927906850690,120233532885890690,1327481731942101,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2025-10-14T14:43:30-0300,"R$48,16 BRL",2179,1673,1.302451,"R$22,10 BRL",27,"1,24%",0.550711,12,"R$4,01 BRL",3,actions:onsite_conversion.messaging_conversation_started_7d,4,"R$12,04 BRL (Messaging conversations started)",2,1.391196,56,155,46,,
120236955146160690,AD - Novo 04,120236955146200690,120236955146140690,706314742036956,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-12-02T23:47:09-0300,"R$47,64 BRL",6194,4235,1.462574,"R$7,69 BRL",75,"1,21%",0.516629,32,"R$1,49 BRL",25,,,Not available (Website purchases),,,86,300,57,actions:offsite_conversion.fb_pixel_purchase,Not available
