id,name,campaign_id,status,effective_status,delivery.status,delivery.substatuses,optimization_goal,bid_strategy,daily_budget,lifetime_budget,start_time,created_time,updated_time,attribution_setting,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,omni_purchase_values,purchase_roas,end_time,results.indicator,results.value
120212331118140690,FRIO - GERAL 3KM,120212331118100690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",CONVERSATIONS,,,,2024-10-04T17:49:37-0300,2024-10-04T17:49:37-0300,2024-10-14T22:48:02-0300,1d_view_7d_click,"R$182,66 BRL",21621,11652,1.855561,"R$8,45 BRL",335,"1,55%",0.573516,124,"R$1,47 BRL",29,actions:onsite_conversion.messaging_conversation_started_7d,66,"R$2,77 BRL (Messaging conversations started)",15,"R$38.458,30 BRL",210.545823,2024-10-27T16:39:00-0300,,
120236955294340690,Post do Instagram: Para finalizar seu dia...,120236955293860690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",VISIT_INSTAGRAM_PROFILE,,,,2025-12-03T08:20:56-0300,2025-12-02T23:50:40-0300,2025-12-02T23:50:56-0300,1d_view_7d_click,"R$177,47 BRL",21485,17122,1.254818,"R$8,26 BRL",446,"2,08%",2.04794,440,"R$0,40 BRL",9,profile_visit_view,428,"R$0,41 BRL (Instagram profile visits)",,,,2025-12-10T08:20:56-0300,,
120209000223530690,Instagram Post,120209000223500690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",VISIT_INSTAGRAM_PROFILE,,,,2024-05-09T20:54:00-0300,2024-05-09T20:53:30-0300,2024-05-09T20:53:30-0300,1d_view_7d_click,"R$175,97 BRL",42235,18888,2.236076,"R$4,17 BRL",283,"0,67%",0.679531,287,"R$0,61 BRL",5,profile_visit_view,301,"R$0,58 BRL (Instagram profile visits)",,,,2024-05-16T20:54:00-0300,,
120212328880470690,00 - FRIO - EX. SEGUIDORES,120212328880460690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",THRUPLAY,Highest volume,"R$10,00 BRL","R$0,00 BRL",2024-10-04T16:02:39-0300,2024-10-04T16:02:39-0300,2024-10-04T16:02:39-0300,1d_view_7d_click,"R$165,93 BRL",105231,43800,2.402534,"R$1,58 BRL",141,"0,13%",0.050365,53,"R$3,13 BRL",25,video_thruplay_watched_actions,44329,"R$0,00 BRL (video_thruplay_watched_actions)",,,,,,
120227026383670690,[P. SEMELHANTE IC][18 a 43],120227026383680690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,,,,2025-06-28T17:00:00-0300,2025-06-27T20:57:25-0300,2025-07-01T16:45:11-0300,1d_view_7d_click_1d_ev,"R$165,86 BRL",29451,10437,2.821788,"R$5,63 BRL",298,"1,01%",0.35992,106,"R$1,56 BRL",76,actions:offsite_conversion.fb_pixel_purchase,14,"R$11,85 BRL (Website purchases)",14,"R$1.199,20 BRL",7.230194,2025-07-28T23:51:00-0300,,
120209224081690690,[P. SEMELHANTE COMPRA][21 a 43],120209223227360690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,,,,2024-05-15T14:29:37-0300,2024-05-15T14:29:37-0300,2024-06-14T13:45:34-0300,1d_view_7d_click,"R$163,39 BRL",27614,12482,2.212306,"R$5,92 BRL",343,"1,24%",0.416455,115,"R$1,42 BRL",102,actions:offsite_conversion.fb_pixel_purchase,24,"R$6,81 BRL (Website purchases)",24,"R$49.979,60 BRL",305.891425,2024-07-04T23:52:00-0300,,
120245078757860690,ADV — [GeWeek mês 05],120233532885890690,PAUSED,PAUSED,off,"[""off""]",CONVERSATIONS,Highest volume,"R$0,00 BRL","R$650,00 BRL",2026-05-06T16:41:26-0300,2026-05-06T16:41:26-0300,2026-05-10T09:40:40-0300,1d_view_7d_click,"R$153,99 BRL",19047,12078,1.577,"R$8,08 BRL",196,"1,03%",0.635271,121,"R$1,27 BRL",10,actions:onsite_conversion.messaging_conversation_started_7d,23,"R$6,70 BRL (Messaging conversations started)",6,"R$278,60 BRL",1.809208,2026-05-31T19:02:00-0300,,
120217686497960690,FRIO GERAL 5 KM (14/03/25),120215485413360690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,Highest volume,"R$0,00 BRL","R$1.200,00 BRL",2025-03-14T17:21:35-0300,2025-03-14T17:21:35-0300,2025-03-17T12:48:11-0300,1d_view_7d_click,"R$151,41 BRL",21482,11622,1.848391,"R$7,05 BRL",267,"1,24%",0.567917,122,"R$1,24 BRL",67,actions:offsite_conversion.fb_pixel_purchase,5,"R$30,28 BRL (Website purchases)",5,"R$29.480,00 BRL",194.703124,2025-05-13T17:19:00-0300,,
120247895063580690,[Raio 3km],120247895063570690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,,,,2026-06-11T21:58:43-0300,2026-06-11T21:58:43-0300,2026-06-11T21:59:00-0300,1d_view_1d_click_1d_ev,"R$149,39 BRL",27229,19311,1.410025,"R$5,49 BRL",175,"0,64%",0.367256,100,"R$1,49 BRL",7,,,Not available (Website purchases),,,,2026-07-05T23:57:00-0300,actions:offsite_conversion.fb_pixel_purchase,Not available
120232082836370690,ADV — [NOVOS Teste],120232081996780690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,Highest volume,"R$0,00 BRL","R$400,00 BRL",2025-09-12T17:00:00-0300,2025-09-12T15:48:09-0300,2025-09-19T18:05:09-0300,1d_view_7d_click,"R$147,08 BRL",24656,11308,2.180403,"R$5,97 BRL",328,"1,33%",0.442083,109,"R$1,35 BRL",74,actions:offsite_conversion.fb_pixel_purchase,2,"R$73,54 BRL (Website purchases)",2,"R$220,90 BRL",1.501904,2025-09-30T23:01:00-0300,,
