ficha_id,ficha_nome,ficha_tipo,ficha_custo_medio,ficha_yield,ingrediente_id,ingrediente_nome,qtd_base,variacoes
4589343,Ge Tropical,datasheet,10.953800000000001,1,3811975,Queijo Mussarela,0,9:0.025-0.025
4589343,Ge Tropical,datasheet,10.953800000000001,1,4588774,Banana Pacovã,0,9:0.1-0.1
4589343,Ge Tropical,datasheet,10.953800000000001,1,3811905,Bacon Fatiado,0,9:0.04-0.04
4589343,Ge Tropical,datasheet,10.953800000000001,1,3811955,Tomate,0,9:0.03-0.03
4589343,Ge Tropical,datasheet,10.953800000000001,1,3811951,Alface,0,9:1-1
4589343,Ge Tropical,datasheet,10.953800000000001,1,3811959,Cebola Roxa,0,9:0.015-0.015
4589343,Ge Tropical,datasheet,10.953800000000001,1,3825282,Molho Maionese Caseira,0,9:0.015-0.015
4589454,Toscana,datasheet,8.0257,1,3812024,Brioche 70g,1,
4589454,Toscana,datasheet,8.0257,1,3825328,Blend 130g,1,
4589454,Toscana,datasheet,8.0257,1,3825324,Molho Honey Mustard,0.015,
4589454,Toscana,datasheet,8.0257,1,4588766,Linguiça Toscana,0.06,
4589454,Toscana,datasheet,8.0257,1,4589465,Vinagrete de Manga,1,
4589454,Toscana,datasheet,8.0257,1,3811975,Queijo Mussarela,0.025,
4589465,Vinagrete de Manga,benefited,0.24575,1,4588977,Manga,0.015,
4589465,Vinagrete de Manga,benefited,0.24575,1,3811955,Tomate,0.007,
4589465,Vinagrete de Manga,benefited,0.24575,1,3811959,Cebola Roxa,0.003,
5068391,Ge American,datasheet,10.975100000000001,1,3812024,Brioche 70g,1,1:1-1
5068391,Ge American,datasheet,10.975100000000001,1,3825328,Blend 130g,1,1:1-1
5068391,Ge American,datasheet,10.975100000000001,1,3811975,Queijo Mussarela,0.025,1:0.025-0.025
5068391,Ge American,datasheet,10.975100000000001,1,3811905,Bacon Fatiado,0.04,1:0.04-0.04
5068391,Ge American,datasheet,10.975100000000001,1,3811959,Cebola Roxa,0.015,1:0.015-0.015
5068391,Ge American,datasheet,10.975100000000001,1,3825282,Molho Maionese Caseira,0.015,1:0.015-0.015
5068391,Ge American,datasheet,10.975100000000001,1,5068384,Picles,0.015,1:0.015-0.015
5259862,Q. Coalho com Cupuaçu,datasheet,5.0732,0,3811973,Queijo Coalho,0.09,1:0.09-0.09
5259862,Q. Coalho com Cupuaçu,datasheet,5.0732,0,3825349,Geleia de Cupuaçu,0.04,1:0.04-0.04
5563575,Ge Box - Encomendas,datasheet,0,1,3812034,Brioche 20g,30,
5563575,Ge Box - Encomendas,datasheet,0,1,3825341,Creme de Cheddar,0.24,
5563575,Ge Box - Encomendas,datasheet,0,1,3811951,Alface,0,
5563575,Ge Box - Encomendas,datasheet,0,1,3825333,Blend 40g,30,
5563575,Ge Box - Encomendas,datasheet,0,1,3811955,Tomate,0,
5563575,Ge Box - Encomendas,datasheet,0,1,3825272,Cebola Caramelizada,0,
5563575,Ge Box - Encomendas,datasheet,0,1,3811905,Bacon Fatiado,0,
5563575,Ge Box - Encomendas,datasheet,0,1,3825324,Molho Honey Mustard,0,
5563575,Ge Box - Encomendas,datasheet,0,1,3825321,Molho Rosé,0.215,
5563575,Ge Box - Encomendas,datasheet,0,1,3811946,Caixa Box,2,
6218382,Hot Dog Prensado,datasheet,3.76825,1,3825282,Molho Maionese Caseira,0.015,1:0.015-0.015
6218382,Hot Dog Prensado,datasheet,3.76825,1,3811980,Catupiry Original,0.05,1:0.05-0.05
6218382,Hot Dog Prensado,datasheet,3.76825,1,3811907,Bacon em cubos,0.03,1:0.03-0.03
6218382,Hot Dog Prensado,datasheet,3.76825,1,6240442,Pão Hot Dog,1,1:1-1
6218382,Hot Dog Prensado,datasheet,3.76825,1,6240438,Molho de Tomate,0.02,1:0.02-0.02
6218382,Hot Dog Prensado,datasheet,3.76825,1,6240435,Batata Palha,0.015,1:0.015-0.015
6218382,Hot Dog Prensado,datasheet,3.76825,1,6240431,Salsicha,2,1:2-2
6420952,Ge Box Prime,datasheet,7.991999999999999,1,3861891,Ge Balls Receita,0.9,
6420952,Ge Box Prime,datasheet,7.991999999999999,1,3811923,Batata Palito,0.23,
6420952,Ge Box Prime,datasheet,7.991999999999999,1,3811946,Caixa Box,0,
6541531,Ge balls-Box Prime,datasheet,3.24,1,3861891,Ge Balls Receita,0.8,2:0.8-0.8
