id,nome,tipo,grupo_id,categoria_financeira_id,unidade_id,estoque_atual,custo_medio,controla_estoque,compoe_cmv,yield
3811925,Batata de Carinhas,ingredient,352016,945361,4,0.8,24.97,Y,Y,0
3811926,Onion Rings,ingredient,352016,945361,4,-0.48,25,Y,Y,0
3811929,Garrafa 300ml,ingredient,352017,945366,1,50,0,Y,Y,0
3811931,Copo Descartável 300ml,ingredient,352017,945367,1,1450,0,Y,N,0
3811941,Lacre de Segurança,ingredient,352017,945366,1,7000,0.05,Y,N,0
3811942,Copo Milkshake,ingredient,352017,945366,1,0,0.5,Y,N,0
3811943,Embalagem Fritas P,ingredient,352017,945366,1,1400,0.4,Y,Y,0
3811944,Embalagem Fritas G,ingredient,352017,945366,1,900,0.55,Y,Y,0
3811946,Caixa Box,ingredient,352017,945366,1,-1051,2.7,Y,Y,0
3811947,Cebola Branca,ingredient,352018,945364,4,-0.943,6.99,Y,Y,0
3811951,Alface,ingredient,352018,945364,1,317.5,0.12,Y,Y,0
3811955,Tomate,ingredient,352018,945364,4,-42.086,11.99,Y,Y,0
3811959,Cebola Roxa,ingredient,352018,945364,4,-17.722,8.99,Y,Y,0
3811960,Cebolinha (Cheiro Verde),ingredient,352018,945362,1,0.824,4.99,Y,Y,0
3811963,Limão,ingredient,352018,945364,4,13.595,5.99,Y,Y,0
3811966,Cupuaçu,ingredient,352018,945362,4,1.849,20,Y,N,0
3811972,Catupiry Sabor Cheddar,ingredient,352019,945362,4,-10.587,50.89,Y,Y,0
3811973,Queijo Coalho,ingredient,352019,945362,4,-18.423,55,Y,Y,0
3811975,Queijo Mussarela,ingredient,352019,945362,4,-19.694,49,Y,Y,0
3811976,Queijo Cheddar Vigor,ingredient,352019,945362,110,-4170.144,0.83,Y,Y,0
3811978,Leite Integral,ingredient,352019,945362,5,-4.579,7,Y,Y,0
3811980,Catupiry Original,ingredient,352019,,4,-0.675,45.26,Y,Y,0
3811981,Margarina,ingredient,352019,945323,4,4,15,Y,N,0
3811982,Açúcar,ingredient,352020,945362,4,3.839,4.39,Y,Y,0
3811985,Oléo de Palma,ingredient,352020,945362,1,4,190,Y,Y,0
3811986,Shoyu,ingredient,352020,945362,5,1.15,15,Y,Y,0
3811992,Oléo Soja,ingredient,352020,945362,4,1.71,9.86,Y,Y,0
3811995,Maionese Vigor,ingredient,352020,945362,4,7.274,12.82,Y,Y,0
3812001,Mostarda Cepera,ingredient,352020,945362,4,-0.915,10.6,Y,Y,0
3812011,Sal,ingredient,352020,,4,2.703,2.99,Y,N,0
3812016,Ketchup Cepera,ingredient,352020,945362,4,-1.557,11.85,Y,Y,0
3812018,Páprica Picante,ingredient,352020,945362,4,0.684,39.8,Y,Y,0
3812023,Mel,ingredient,352020,945362,4,-0.157,49.85,Y,Y,0
3812024,Brioche 70g,ingredient,352021,945362,1,-4094,2,Y,Y,0
3812025,Trigo,ingredient,352022,945362,4,-0.133,4.59,Y,Y,0
3812030,Farinha Panko,ingredient,352022,945362,4,0.868,25,Y,Y,0
3812034,Brioche 20g,ingredient,352021,945362,1,-2280,1,Y,Y,0
3812037,Açúcar (consumo interno),ingredient,352022,945323,4,2,4.39,Y,N,0
3812042,Nutella,ingredient,352023,945362,4,-0.716,74,Y,Y,0
3812046,Ovomaltine,ingredient,352023,945362,4,-0.44,53.32,Y,Y,0
3812048,Sorvete de Creme,ingredient,352023,945362,4,-16.14,26,Y,Y,0
3812051,Calda de Chocolate,ingredient,352023,945362,4,-0.154,15.38,Y,Y,0
3812055,Água Mineral 20L,ingredient,352014,945323,5,-76.014,0.55,Y,Y,0
3812057,Barbecue,ingredient,352020,945362,4,1.305,13.4,Y,Y,0
3812074,Pepsi 350ml,ingredient,352014,945363,1,-51,2.96,Y,Y,0
3825272,Cebola Caramelizada,benefited,352020,,4,-32.509,12.33,Y,Y,1.17
3825282,Molho Maionese Caseira,benefited,352020,,4,-42.293,8.20422222222222,Y,Y,1.8
3825287,Catupiry Empanado,benefited,352019,,1,-1,5.32,Y,Y,18
3825294,Batata Frita,datasheet,352016,,1,0,4.3469999999999995,N,N,1
3825297,Onion Rings,datasheet,,,1,-3,2.625,N,N,1
3825318,FRANGO EMPANADO,benefited,352015,,1,-134,2.73,Y,Y,12
3825321,Molho Rosé,benefited,352020,,4,-56.915,12.55,Y,Y,1.5
3825324,Molho Honey Mustard,benefited,352020,,4,-10.613,14.38,Y,Y,1.21
3825328,Blend 130g,benefited,352015,,1,-2988.5,4.41,Y,Y,1
3825331,Blend 100g,benefited,352015,,1,-1058.5,3.4,Y,Y,1
3825333,Blend 40g,benefited,352015,,1,-2327,1.36,Y,Y,1
3825341,Creme de Cheddar,benefited,352020,,4,-58.001,31.24,Y,Y,1
3825342,Costela Desfiada,benefited,352015,,1,-499,2.05,Y,Y,65
3825348,Pimenta Malagueta,ingredient,352020,945362,4,-0.172,70,Y,Y,0
3825349,Geleia de Cupuaçu,benefited,352020,,4,-13.476,14.33,Y,Y,1.8
3825352,Gê Kids,datasheet,,,1,0,4.800078888888889,N,N,1
3825359,Ge Burger,datasheet,,,1,-4,7.411967777777778,N,N,1
3825364,Milk-Shake Ovomaltine,datasheet,,,1,0,8.03468,N,N,1
3825370,Ge Bacon,datasheet,,,1,-3,9.869492653810836,N,N,1
3825376,Ge Chicken,datasheet,,,1,-2,6.306866433333333,N,N,1
3825379,Ultra Egg Bacon,datasheet,,,1,-1,8.8913331,N,N,1
3825381,Ge Salad,datasheet,,,1,-2,8.026517777777778,N,N,1
3825382,Ge Cream,datasheet,,,1,0,13.174534211111112,N,N,1
3825384,Ge Onion,datasheet,,,1,-3,10.22477777777778,N,N,1
3825385,Ge Rib,datasheet,,,1,-2,9.953470416239316,N,N,1
3825386,Ultra Burger,datasheet,,,1,-4,6.32,N,N,1
3825392,Ge Box,datasheet,,,1,-1,17.834863645263827,N,N,1
3825398,Detergente,ingredient,353184,945328,1,74,1.79,Y,N,0
3825399,Esponja,ingredient,353184,945328,1,0,1,Y,N,0
3825401,Sabão em Pó 1KG,ingredient,353184,945328,4,0,5.98,Y,N,0
3825403,Alcool,ingredient,353184,945328,5,6,8.99,Y,N,0
3825443,Suco Morango,datasheet,,,1,-1,1.8919266666666663,N,N,1
3825789,Ge Balls,datasheet,,,1,6,0,N,N,1
3825791,Ultra Salad,datasheet,,,1,-1,6.93885,N,N,1
3825792,Batata de Carinhas,datasheet,352016,,1,0.8,2.87,N,N,1
3825795,Fristas Melted,datasheet,,,1,-1,6.1625,N,N,1
3825815,Gê Classic,datasheet,,,1,-3,9.433937316239318,N,N,1
3825824,Ge Amazonico,datasheet,,,1,-1,11.130225877777779,N,N,1
3831315,Milk-Shake Sabor,datasheet,,,1,0,0,N,N,1
3831330,Milk-Shake Sabor,datasheet,,,1,0,0,N,N,1
3831690,Oreo,ingredient,352023,945362,4,-0.828,55.55,Y,Y,0
3831974,Disco de Catupiry Empanado,datasheet,352019,,1,4,5.32,N,N,1
3831991,Molheira,ingredient,352017,945366,1,269,0.17,Y,N,0
3831993,Rosé,datasheet,,,111,0,0.37638000000000005,N,N,1
3832000,Honey Mustard,datasheet,,,111,0,0,N,N,1
3832010,Maionese Caseira,datasheet,,,111,-7,0,N,N,1
3832087,Blend 65g,datasheet,352015,,1,0,2.0793500000000003,N,N,1
3832135,Porção Cebola Caramelizada,datasheet,,,111,0,0.22196953846153847,N,N,1
3832212,Porção Adc Costela Desfiada,datasheet,,,111,58,2.6,N,N,1
3832266,Porção Salada,datasheet,,,111,0,0.61455,N,N,1
3832341,Adicional Queijo Mussarela,datasheet,,,1,-2,1.225,N,N,1
3832343,Adicional Queijo Coalho,datasheet,,,1,0,0,N,N,1
3832378,Molho Barbecue,datasheet,,,1,0,0.20099999999999998,N,N,1
3832634,Ketchup Heinz 7g,ingredient,352020,945362,1,340,0.2,Y,Y,0
3832637,Mostarda Heinz 7g,ingredient,352020,945362,1,308,0.24,Y,Y,0
3832648,Colherzinha,ingredient,352017,945367,1,3613,0.04,Y,N,0
3832673,Kit Sachê Ketchup,datasheet,,,1,0,0.4,N,N,1
