id;nome;categoria;ativo;tipo;delivery;site;digital_menu;variacoes;descricao
28177172;S - Coca Cola 1,5L;S - Bebidas;Y;other;N;N;N;Único:13;
29486566;D - Ge da Galera;Promoções Ifood;Y;other;N;N;N;Único:155;
30112634;S - Smash + Bebida Geladinha;S - Mais Pedidos ;Y;other;N;N;N;Único:27.5;
30289032;Sprite Original 350ML;Bebidas;N;other;Y;Y;Y;Único:7;
30289087;S - Sprite Original 350ML;S - Bebidas;N;other;N;N;N;Único:7;
31631114;S - Suco Del Valle Uva 1L;S - Bebidas;N;other;N;N;N;Único:11;
31631118;Suco Del Valle Uva 1L;Bebidas;N;other;Y;Y;Y;Único:11;
32282004;Fanta Laranja 1,5L;S - Bebidas;N;other;N;N;N;Único:13;
32557235;Fatia Amore;S - Sobremesas;N;other;N;N;N;Único:15;Fatia de bolo de massa amanteigada, com recheio de brigadeiro gourmet (com chocolate nobre nacional) de maracujá, brigadeiro branco e geleia de morango.
32679931;Devil's Cake;S - Sobremesas;N;other;N;N;N;Único:16;Bolo de chocolate molhadinho, recheado com ganache de chocolate nobre.
33459809;Ge Tropical;Hambúrgueres;Y;other;Y;Y;Y;Único:37;Hambúrger 130g, queijo mussarela, banana frita, bacon, salada: tomate, cebola roxa, alface e molho levemente apimentado no pão brioche de fermentação natural.
33459861;Combo Ge Tropical;Burger + Fritas + Refri!;Y;other;Y;Y;Y;Único:49;Burger 130g, queijo mussarela, banana frita, bacon, salada: tomate, cebola roxa, alface e molho levemente apimentado no pão brioche de fermentação natural.
36085510;S - Ge Tropical;S - Smash;Y;other;N;N;Y;Único:37;Burger 130g, queijo mussarela, banana frita, bacon, salada: tomate, cebola roxa, alface e molho levemente apimentado no pão brioche de fermentação natural.
36244843;S - Combo Ge Tropical;S - Gê Combos!;Y;other;N;N;Y;Único:49;Burger 130g, queijo mussarela, banana frita, bacon, salada: tomate, cebola roxa, alface e molho levemente apimentado no pão brioche de fermentação natural.
36433006;Queijo Coalho com Geléia de Cupuaçú;S - Entradas;Y;other;Y;N;N;Único:22;Porção de queijo coalho empanado acompanhado de geléia de cupuaçú artesanal
36433755;Ge Oklahoma;Novidades!;Y;other;Y;Y;Y;Único:35;Smash Burger de 130g (duas carnes de 65g) prensado na chapa com cebola branca, creme de cheddar e molho rosé no pão de forma de fermentação natural.
36435054;Guaraná Antárctica Zero 1L;Bebidas;N;other;Y;Y;Y;Único:11;
